val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.514493,0.675264,0.514493,0.000020,0.765261,1.000000,
0.471014,1.281092,0.514493,0.000018,0.721975,2.000000,
0.471014,1.254382,0.514493,0.000016,0.897974,3.000000,
0.471014,1.548085,0.514493,0.000015,0.266405,4.000000,
0.471014,1.469950,0.514493,0.000013,0.751534,5.000000,
0.471014,1.222017,0.514493,0.000011,0.760820,6.000000,
0.471014,0.949671,0.514493,0.000009,0.829574,7.000000,
0.449275,0.764056,0.514493,0.000007,0.853366,8.000000,
0.500000,0.712205,0.514493,0.000005,0.594890,9.000000,
0.478261,0.699143,0.514493,0.000004,0.559382,10.000000,
0.478261,0.697580,0.514493,0.000002,0.497246,11.000000,
0.456522,0.693153,0.514493,0.000000,0.403094,12.000000,
