val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.456522,0.707227,0.456522,0.000020,0.740135,9.000000,
0.594203,0.653452,0.594203,0.000018,0.679347,18.000000,
0.557971,0.652974,0.594203,0.000016,0.714313,27.000000,
0.536232,0.680584,0.594203,0.000014,0.697448,36.000000,
0.630435,0.598440,0.630435,0.000012,0.655576,45.000000,
0.637681,0.566067,0.637681,0.000010,0.641491,54.000000,
0.652174,0.545741,0.652174,0.000008,0.606083,63.000000,
0.637681,0.577380,0.652174,0.000006,0.533654,72.000000,
0.659420,0.553597,0.659420,0.000003,0.569957,81.000000,
0.652174,0.541946,0.659420,0.000001,0.520630,90.000000,
0.652174,0.540249,0.659420,0.000000,0.485761,96.000000,
