val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.809502,0.471014,0.000020,0.838577,9.000000,
0.528986,0.645407,0.528986,0.000018,0.731730,18.000000,
0.528986,0.647717,0.528986,0.000016,0.705989,27.000000,
0.528986,0.671092,0.528986,0.000014,0.704241,36.000000,
0.528986,0.670255,0.528986,0.000012,0.724001,45.000000,
0.471014,0.702570,0.528986,0.000010,0.704759,54.000000,
0.528986,0.665985,0.528986,0.000008,0.719517,63.000000,
0.471014,0.693428,0.528986,0.000006,0.717650,72.000000,
0.471014,0.702197,0.528986,0.000003,0.702941,81.000000,
0.528986,0.687274,0.528986,0.000001,0.702981,90.000000,
0.528986,0.686322,0.528986,0.000000,0.716017,96.000000,
