val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.557971,0.675143,0.557971,0.000020,0.724999,1.000000,
0.471014,0.827011,0.557971,0.000018,0.741292,2.000000,
0.492754,0.814792,0.557971,0.000016,0.682706,3.000000,
0.507246,0.671852,0.557971,0.000015,0.837129,4.000000,
0.579710,0.640751,0.579710,0.000013,0.555577,5.000000,
0.572464,0.646255,0.579710,0.000011,0.683392,6.000000,
0.528986,0.638826,0.579710,0.000009,0.604868,7.000000,
0.536232,0.651315,0.579710,0.000007,0.612530,8.000000,
0.500000,0.688446,0.579710,0.000005,0.437853,9.000000,
0.528986,0.729912,0.579710,0.000004,0.432847,10.000000,
0.507246,0.745190,0.579710,0.000002,0.478393,11.000000,
0.514493,0.755978,0.579710,0.000000,0.330416,12.000000,
