val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.915843,0.471014,0.000020,0.875379,9.000000,
0.528986,0.636518,0.528986,0.000018,0.717058,18.000000,
0.507246,0.684379,0.528986,0.000016,0.700004,27.000000,
0.521739,0.704493,0.528986,0.000014,0.684562,36.000000,
0.637681,0.592985,0.637681,0.000012,0.628155,45.000000,
0.601449,0.568941,0.637681,0.000010,0.562827,54.000000,
0.601449,0.683511,0.637681,0.000008,0.658165,63.000000,
0.659420,0.542038,0.659420,0.000006,0.537746,72.000000,
0.623188,0.564793,0.659420,0.000003,0.486901,81.000000,
0.615942,0.563249,0.659420,0.000001,0.570871,90.000000,
0.630435,0.559647,0.659420,0.000000,0.545992,96.000000,
