val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.433789,0.444288,0.439038,4.890592,0.444288,0.000020,7.286056,9.000000,
0.556585,0.584868,0.570726,1.608967,0.584868,0.000018,3.654270,18.000000,
0.719686,0.733983,0.726834,1.184065,0.733983,0.000016,1.863041,27.000000,
0.803268,0.809353,0.806311,0.846116,0.809353,0.000014,1.000178,36.000000,
0.834212,0.838866,0.836539,0.710222,0.838866,0.000012,0.776558,45.000000,
0.846904,0.851066,0.848985,0.661039,0.851066,0.000010,0.770981,54.000000,
0.853745,0.854236,0.853991,0.646862,0.854236,0.000008,0.754737,63.000000,
0.854305,0.858581,0.856443,0.704734,0.858581,0.000006,0.595774,72.000000,
0.855319,0.857511,0.856415,0.655999,0.858581,0.000003,0.562795,81.000000,
0.855569,0.856488,0.856029,0.636564,0.858581,0.000001,0.509055,90.000000,
0.855984,0.857343,0.856664,0.637215,0.858581,0.000000,0.515664,96.000000,
