val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.050398,0.781436,-0.050398,0.000020,0.864965,1.000000,
0.000000,0.989607,0.000000,0.000018,0.805525,2.000000,
0.000000,1.209738,0.000000,0.000016,0.567674,3.000000,
0.000000,1.186757,0.000000,0.000015,2.048115,4.000000,
0.000000,1.043789,0.000000,0.000013,0.766608,5.000000,
0.000000,0.895390,0.000000,0.000011,0.401123,6.000000,
0.000000,0.764654,0.000000,0.000009,0.542472,7.000000,
0.000000,0.690876,0.000000,0.000007,0.389118,8.000000,
0.065575,0.660171,0.065575,0.000005,0.418843,9.000000,
0.102348,0.646837,0.102348,0.000004,0.434050,10.000000,
0.085392,0.644794,0.102348,0.000002,0.379492,11.000000,
0.088090,0.643916,0.102348,0.000000,0.427371,12.000000,
