val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.653815,0.528986,0.000020,0.971722,1.000000,
0.471014,1.516574,0.528986,0.000018,0.741043,2.000000,
0.471014,1.762818,0.528986,0.000016,1.281521,3.000000,
0.471014,1.748922,0.528986,0.000015,0.625914,4.000000,
0.471014,1.456662,0.528986,0.000013,0.882237,5.000000,
0.471014,1.096601,0.528986,0.000011,1.035456,6.000000,
0.507246,0.813715,0.528986,0.000009,0.755301,7.000000,
0.500000,0.693766,0.528986,0.000007,0.390360,8.000000,
0.521739,0.643875,0.528986,0.000005,0.569291,9.000000,
0.528986,0.637088,0.528986,0.000004,0.640297,10.000000,
0.521739,0.636384,0.528986,0.000002,0.638360,11.000000,
0.528986,0.636425,0.528986,0.000000,0.756394,12.000000,
