val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.844316,0.471014,0.000020,0.775212,1.000000,
0.471014,0.781504,0.471014,0.000018,0.753239,2.000000,
0.471014,0.737852,0.471014,0.000016,0.684481,3.000000,
0.463768,0.704608,0.471014,0.000015,0.759477,4.000000,
0.536232,0.671617,0.536232,0.000013,0.744356,5.000000,
0.536232,0.662297,0.536232,0.000011,0.754869,6.000000,
0.536232,0.653989,0.536232,0.000009,0.677780,7.000000,
0.550725,0.649533,0.550725,0.000007,0.613636,8.000000,
0.550725,0.649533,0.550725,0.000005,0.759305,9.000000,
0.492754,0.681297,0.550725,0.000004,0.700016,10.000000,
0.492754,0.681297,0.550725,0.000002,0.650992,11.000000,
0.485507,0.751133,0.550725,0.000000,0.759937,12.000000,
