val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.298009,0.184183,0.241096,6.311339,0.184183,0.000020,5.889698,1.000000,
0.298009,0.184183,0.241096,6.311339,0.184183,0.000018,8.388718,2.000000,
0.298009,0.184183,0.241096,6.311339,0.184183,0.000016,8.133726,3.000000,
0.265688,0.103217,0.184452,6.229406,0.184183,0.000015,7.172665,4.000000,
0.240231,-0.013891,0.113170,6.146985,0.184183,0.000013,8.768019,5.000000,
0.233540,-0.016561,0.108489,6.054706,0.184183,0.000011,6.238833,6.000000,
0.248585,0.058141,0.153363,5.933445,0.184183,0.000009,7.187103,7.000000,
0.264961,0.126465,0.195713,5.804569,0.184183,0.000007,4.653430,8.000000,
0.281818,0.191688,0.236753,5.692524,0.191688,0.000005,6.143226,9.000000,
0.300587,0.233130,0.266858,5.605005,0.233130,0.000004,6.808208,10.000000,
0.316637,0.258490,0.287563,5.537666,0.258490,0.000002,6.550329,11.000000,
0.325566,0.272638,0.299102,5.501927,0.272638,0.000000,10.595476,12.000000,
