val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.856864,0.000000,0.000020,0.953347,1.000000,
0.000000,0.842922,0.000000,0.000018,0.841141,2.000000,
0.000000,1.107119,0.000000,0.000016,0.541210,3.000000,
0.000000,1.127379,0.000000,0.000015,1.736950,4.000000,
0.000000,1.007002,0.000000,0.000013,1.053339,5.000000,
0.000000,0.849822,0.000000,0.000011,0.720481,6.000000,
0.000000,0.720681,0.000000,0.000009,0.507848,7.000000,
0.000000,0.679530,0.000000,0.000007,0.251910,8.000000,
0.083941,0.646070,0.083941,0.000005,0.511901,9.000000,
0.102348,0.630711,0.102348,0.000004,0.408316,10.000000,
0.185949,0.623189,0.185949,0.000002,0.476405,11.000000,
0.185949,0.621078,0.185949,0.000000,0.454821,12.000000,
