val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.463768,0.776383,0.463768,0.000020,0.725015,1.000000,
0.471014,0.764523,0.471014,0.000018,0.691550,2.000000,
0.471014,0.761046,0.471014,0.000016,0.671634,3.000000,
0.471014,0.760935,0.471014,0.000015,0.561567,4.000000,
0.471014,0.758910,0.471014,0.000013,0.700091,5.000000,
0.478261,0.755947,0.478261,0.000011,0.660504,6.000000,
0.478261,0.754783,0.478261,0.000009,0.647053,7.000000,
0.478261,0.754837,0.478261,0.000007,0.546738,8.000000,
0.478261,0.754626,0.478261,0.000005,0.749475,9.000000,
0.478261,0.754859,0.478261,0.000004,0.679003,10.000000,
0.478261,0.754770,0.478261,0.000002,0.724917,11.000000,
0.478261,0.754686,0.478261,0.000000,0.644068,12.000000,
