val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.004004,0.667101,0.004004,0.000020,0.609894,1.000000,
-0.041964,0.676672,0.004004,0.000018,0.635653,2.000000,
0.061986,0.666977,0.061986,0.000016,0.666709,3.000000,
0.148637,0.639176,0.148637,0.000015,0.736317,4.000000,
0.350368,0.622297,0.350368,0.000013,0.541506,5.000000,
0.285972,0.623181,0.350368,0.000011,0.475076,6.000000,
0.336227,0.597807,0.350368,0.000009,0.543113,7.000000,
0.342691,0.589827,0.350368,0.000007,0.274809,8.000000,
0.340407,0.591017,0.350368,0.000005,0.297714,9.000000,
0.335545,0.599596,0.350368,0.000004,0.346387,10.000000,
0.335545,0.604370,0.350368,0.000002,0.247109,11.000000,
0.340349,0.608787,0.350368,0.000000,0.223889,12.000000,
