val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.463768,0.776383,0.463768,0.000020,0.781127,1.000000,
0.463768,0.733214,0.463768,0.000018,0.716847,2.000000,
0.471014,0.700986,0.471014,0.000016,0.755055,3.000000,
0.528986,0.678577,0.528986,0.000015,0.772384,4.000000,
0.528986,0.657213,0.528986,0.000013,0.703570,5.000000,
0.528986,0.641127,0.528986,0.000011,0.706908,6.000000,
0.528986,0.630197,0.528986,0.000009,0.753424,7.000000,
0.528986,0.636056,0.528986,0.000007,0.666267,8.000000,
0.528986,0.634772,0.528986,0.000005,0.721607,9.000000,
0.528986,0.619777,0.528986,0.000004,0.812505,10.000000,
0.528986,0.614097,0.528986,0.000002,0.646380,11.000000,
0.528986,0.620852,0.528986,0.000000,0.803720,12.000000,
