val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000020,5.009949,1.000000,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000018,7.182598,2.000000,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000016,6.809175,3.000000,
0.382631,0.312543,0.347587,5.024096,0.511154,0.000015,2.615901,4.000000,
0.350513,-0.048247,0.151133,4.799387,0.511154,0.000013,6.439906,5.000000,
0.343719,-0.089427,0.127146,4.564752,0.511154,0.000011,5.203363,6.000000,
0.348823,-0.013926,0.167448,4.338497,0.511154,0.000009,6.131135,7.000000,
0.363550,0.081776,0.222663,4.152093,0.511154,0.000007,2.636300,8.000000,
0.376117,0.137482,0.256800,3.977210,0.511154,0.000005,6.164411,9.000000,
0.383242,0.191949,0.287595,3.812094,0.511154,0.000004,3.053072,10.000000,
0.393105,0.251060,0.322083,3.668769,0.511154,0.000002,5.204108,11.000000,
0.397971,0.280454,0.339212,3.581326,0.511154,0.000000,1.975515,12.000000,
