val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.478261,0.675067,0.478261,0.000020,0.706839,1.000000,
0.463768,0.825116,0.478261,0.000018,0.722349,2.000000,
0.471014,1.095224,0.478261,0.000016,0.614396,3.000000,
0.471014,1.273164,0.478261,0.000015,0.634194,4.000000,
0.471014,1.080651,0.478261,0.000013,0.781316,5.000000,
0.485507,0.821903,0.485507,0.000011,0.609799,6.000000,
0.514493,0.692835,0.514493,0.000009,0.506687,7.000000,
0.536232,0.664014,0.536232,0.000007,0.407037,8.000000,
0.536232,0.679913,0.536232,0.000005,0.562770,9.000000,
0.536232,0.684150,0.536232,0.000004,0.591354,10.000000,
0.536232,0.680773,0.536232,0.000002,0.641353,11.000000,
0.536232,0.678190,0.536232,0.000000,0.639514,12.000000,
