val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.019381,0.926159,-0.019381,0.000020,1.012560,1.000000,
-0.063508,0.792762,-0.019381,0.000018,1.044101,2.000000,
-0.063508,0.792762,-0.019381,0.000016,0.827757,3.000000,
-0.002468,0.731149,-0.002468,0.000015,0.765936,4.000000,
-0.030194,0.700667,-0.002468,0.000013,0.787503,5.000000,
0.014108,0.681538,0.014108,0.000011,0.767246,6.000000,
0.014108,0.681538,0.014108,0.000009,0.671484,7.000000,
0.003354,0.678905,0.014108,0.000007,0.807746,8.000000,
0.041175,0.672643,0.041175,0.000005,0.634330,9.000000,
0.030735,0.670326,0.041175,0.000004,0.591856,10.000000,
0.030735,0.670505,0.041175,0.000002,0.594211,11.000000,
0.030735,0.670644,0.041175,0.000000,0.556249,12.000000,
