val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.514493,0.675264,0.514493,0.000020,0.733250,1.000000,
0.471014,1.028766,0.514493,0.000018,0.758357,2.000000,
0.471014,0.952786,0.514493,0.000016,0.756866,3.000000,
0.471014,0.830272,0.514493,0.000015,0.806484,4.000000,
0.449275,0.689081,0.514493,0.000013,0.616024,5.000000,
0.463768,0.677434,0.514493,0.000011,0.613197,6.000000,
0.521739,0.651175,0.521739,0.000009,0.603053,7.000000,
0.521739,0.648932,0.521739,0.000007,0.598146,8.000000,
0.500000,0.657721,0.521739,0.000005,0.591558,9.000000,
0.471014,0.675638,0.521739,0.000004,0.551709,10.000000,
0.420290,0.685254,0.521739,0.000002,0.511302,11.000000,
0.449275,0.694574,0.521739,0.000000,0.647947,12.000000,
