val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.767595,0.000000,0.000020,0.725431,9.000000,
0.118839,0.830564,0.118839,0.000018,0.601670,18.000000,
0.400253,0.599501,0.400253,0.000016,0.508207,27.000000,
0.385835,0.719826,0.400253,0.000014,0.393402,36.000000,
0.459854,0.594829,0.459854,0.000012,0.328590,45.000000,
0.341479,0.887963,0.459854,0.000010,0.372352,54.000000,
0.423938,0.626929,0.459854,0.000008,0.300321,63.000000,
0.406151,0.707405,0.459854,0.000006,0.255522,72.000000,
0.407539,0.805375,0.459854,0.000003,0.163178,81.000000,
0.437213,0.786557,0.459854,0.000001,0.175014,90.000000,
0.436712,0.806281,0.459854,0.000000,0.118870,96.000000,
