val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000020,5.772416,1.000000,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000018,7.898732,2.000000,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000016,6.918756,3.000000,
0.443559,0.382089,0.412824,1.968476,0.382089,0.000015,7.600702,4.000000,
0.524940,0.479487,0.502213,2.644355,0.479487,0.000013,2.663943,5.000000,
0.630370,0.635079,0.632725,2.905944,0.635079,0.000011,2.767954,6.000000,
0.715585,0.740959,0.728272,2.452962,0.740959,0.000009,2.649503,7.000000,
0.756693,0.781959,0.769326,2.358347,0.781959,0.000007,0.939598,8.000000,
0.782376,0.799415,0.790896,2.055950,0.799415,0.000005,1.679732,9.000000,
0.796123,0.805802,0.800962,1.792202,0.805802,0.000004,1.430319,10.000000,
0.800691,0.805948,0.803319,1.594161,0.805948,0.000002,1.925701,11.000000,
0.801835,0.805530,0.803682,1.503026,0.805948,0.000000,1.780181,12.000000,
