val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.537752,0.596973,0.567362,1.806475,0.596973,0.000020,6.231294,9.000000,
0.058485,0.099227,0.078856,4.129978,0.596973,0.000018,5.440233,18.000000,
0.022819,0.021198,0.022009,2.146892,0.596973,0.000016,3.142048,27.000000,
nan,nan,nan,2.273118,0.596973,0.000014,2.048821,36.000000,
nan,nan,nan,2.266272,0.596973,0.000012,2.101995,45.000000,
nan,nan,nan,2.211246,0.596973,0.000010,2.236188,54.000000,
nan,nan,nan,2.202632,0.596973,0.000008,2.327446,63.000000,
nan,nan,nan,2.237239,0.596973,0.000006,2.234805,72.000000,
nan,nan,nan,2.238417,0.596973,0.000003,2.388905,81.000000,
nan,nan,nan,2.238417,0.596973,0.000001,2.039493,90.000000,
nan,nan,nan,2.239603,0.596973,0.000000,2.451791,96.000000,
