val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000020,6.497815,1.000000,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000018,7.111360,2.000000,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000016,7.774505,3.000000,
0.617738,0.606914,0.612326,2.174852,0.606914,0.000015,5.572184,4.000000,
0.697061,0.729188,0.713125,1.969975,0.729188,0.000013,3.491661,5.000000,
0.733106,0.763990,0.748548,2.515809,0.763990,0.000011,1.685692,6.000000,
0.751349,0.765543,0.758446,2.272586,0.765543,0.000009,1.342327,7.000000,
0.745648,0.749121,0.747384,1.922665,0.765543,0.000007,0.119122,8.000000,
0.731888,0.727226,0.729557,1.584817,0.765543,0.000005,1.247115,9.000000,
0.733128,0.728866,0.730997,1.487076,0.765543,0.000004,0.932181,10.000000,
0.738708,0.736541,0.737624,1.408278,0.765543,0.000002,1.084729,11.000000,
0.743078,0.742214,0.742646,1.386756,0.765543,0.000000,1.184856,12.000000,
