val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000020,8.912932,1.000000,
0.254296,0.222423,0.238360,5.695974,0.222423,0.000018,9.273764,2.000000,
0.601519,0.610968,0.606243,1.742195,0.610968,0.000016,6.146328,3.000000,
0.625710,0.668501,0.647105,3.822681,0.668501,0.000015,3.764729,4.000000,
0.694190,0.747209,0.720699,4.442358,0.747209,0.000013,2.709130,5.000000,
0.727740,0.758444,0.743092,3.809398,0.758444,0.000011,2.270346,6.000000,
0.738146,0.744389,0.741267,2.860845,0.758444,0.000009,2.939703,7.000000,
0.729521,0.721010,0.725266,2.224694,0.758444,0.000007,2.119361,8.000000,
0.721974,0.710356,0.716165,1.821945,0.758444,0.000005,1.148268,9.000000,
0.719384,0.708794,0.714089,1.625358,0.758444,0.000004,1.723223,10.000000,
0.714864,0.705133,0.709998,1.505623,0.758444,0.000002,1.298082,11.000000,
0.715641,0.706600,0.711120,1.469341,0.758444,0.000000,1.466281,12.000000,
