val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.881026,0.000000,0.000020,0.637729,9.000000,
0.083941,0.797954,0.083941,0.000018,0.604689,18.000000,
0.447833,0.538906,0.447833,0.000016,0.562421,27.000000,
0.349591,0.634911,0.447833,0.000014,0.534413,36.000000,
0.417981,0.531909,0.447833,0.000012,0.343734,45.000000,
0.423880,0.647210,0.447833,0.000010,0.325314,54.000000,
0.429694,0.589780,0.447833,0.000008,0.313943,63.000000,
0.407743,0.668057,0.447833,0.000006,0.205579,72.000000,
0.441582,0.607126,0.447833,0.000003,0.145759,81.000000,
0.470607,0.586103,0.470607,0.000001,0.189559,90.000000,
0.442355,0.605565,0.470607,0.000000,0.140946,96.000000,
