val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.011235,0.771544,-0.011235,0.000020,0.659235,1.000000,
-0.011235,0.771544,-0.011235,0.000018,0.706833,2.000000,
0.017831,0.748878,0.017831,0.000016,0.599986,3.000000,
0.017831,0.748878,0.017831,0.000015,0.645879,4.000000,
-0.031456,0.721985,0.017831,0.000013,0.820215,5.000000,
-0.010178,0.707139,0.017831,0.000011,0.576131,6.000000,
-0.014100,0.711510,0.017831,0.000009,0.592381,7.000000,
-0.030439,0.706757,0.017831,0.000007,0.841140,8.000000,
-0.008253,0.708228,0.017831,0.000005,0.435552,9.000000,
-0.035539,0.708393,0.017831,0.000004,0.545241,10.000000,
-0.030439,0.708705,0.017831,0.000002,0.558602,11.000000,
-0.025176,0.709427,0.017831,0.000000,0.485299,12.000000,
