val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.644131,0.528986,0.000020,0.809761,1.000000,
0.528986,0.644505,0.528986,0.000018,0.651584,2.000000,
0.528986,0.653242,0.528986,0.000016,0.777946,3.000000,
0.528986,0.672329,0.528986,0.000015,0.933166,4.000000,
0.463768,0.718126,0.528986,0.000013,0.713879,5.000000,
0.471014,0.900098,0.528986,0.000011,0.660746,6.000000,
0.471014,0.858964,0.528986,0.000009,0.789162,7.000000,
0.471014,0.763054,0.528986,0.000007,0.810971,8.000000,
0.456522,0.725286,0.528986,0.000005,0.694179,9.000000,
0.471014,0.706390,0.528986,0.000004,0.597457,10.000000,
0.536232,0.690013,0.536232,0.000002,0.625830,11.000000,
0.550725,0.674242,0.550725,0.000000,0.679076,12.000000,
