val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.425659,0.460947,0.443303,3.015302,0.460947,0.000020,4.548288,1.000000,
0.425659,0.460947,0.443303,3.015302,0.460947,0.000018,5.119734,2.000000,
0.435409,0.487759,0.461584,2.913318,0.487759,0.000016,3.881666,3.000000,
0.446208,0.495944,0.471076,2.842430,0.495944,0.000015,1.286479,4.000000,
0.446747,0.492534,0.469641,2.779776,0.495944,0.000013,3.393458,5.000000,
0.448021,0.504187,0.476104,2.726574,0.504187,0.000011,4.032922,6.000000,
0.451370,0.519666,0.485518,2.682521,0.519666,0.000009,4.268405,7.000000,
0.451370,0.519666,0.485518,2.682521,0.519666,0.000007,7.059624,8.000000,
0.462132,0.563021,0.512577,2.650329,0.563021,0.000005,4.173501,9.000000,
0.470101,0.586891,0.528496,2.625907,0.586891,0.000004,3.960614,10.000000,
0.475172,0.599566,0.537369,2.609418,0.599566,0.000002,3.536764,11.000000,
0.477628,0.607174,0.542401,2.600619,0.607174,0.000000,3.519920,12.000000,
