val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.646428,0.528986,0.000020,0.762715,9.000000,
0.528986,0.669802,0.528986,0.000018,0.714498,18.000000,
0.528986,0.684193,0.528986,0.000016,0.714174,27.000000,
0.557971,0.689408,0.557971,0.000014,0.701558,36.000000,
0.565217,0.703346,0.565217,0.000012,0.697841,45.000000,
0.579710,0.712581,0.579710,0.000010,0.683728,54.000000,
0.557971,0.708615,0.579710,0.000008,0.704208,63.000000,
0.594203,0.690468,0.594203,0.000006,0.652410,72.000000,
0.608696,0.679421,0.608696,0.000003,0.672328,81.000000,
0.630435,0.666007,0.630435,0.000001,0.658798,90.000000,
0.623188,0.666390,0.630435,0.000000,0.643093,96.000000,
