val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.514493,0.675264,0.514493,0.000020,0.735469,1.000000,
0.471014,1.572712,0.514493,0.000018,0.726632,2.000000,
0.471014,1.681878,0.514493,0.000016,1.008971,3.000000,
0.471014,1.412912,0.514493,0.000015,1.721254,4.000000,
0.471014,1.026384,0.514493,0.000013,0.851297,5.000000,
0.478261,0.744541,0.514493,0.000011,0.608012,6.000000,
0.543478,0.644273,0.543478,0.000009,0.612515,7.000000,
0.528986,0.648862,0.543478,0.000007,0.629196,8.000000,
0.528986,0.656070,0.543478,0.000005,0.600236,9.000000,
0.528986,0.652701,0.543478,0.000004,0.822671,10.000000,
0.528986,0.647527,0.543478,0.000002,0.593115,11.000000,
0.528986,0.644497,0.543478,0.000000,1.100284,12.000000,
