val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.644131,0.528986,0.000020,0.788740,1.000000,
0.528986,0.643321,0.528986,0.000018,0.829860,2.000000,
0.528986,0.643635,0.528986,0.000016,0.735888,3.000000,
0.528986,0.644748,0.528986,0.000015,0.794277,4.000000,
0.528986,0.645741,0.528986,0.000013,0.699481,5.000000,
0.528986,0.647050,0.528986,0.000011,0.733651,6.000000,
0.528986,0.648924,0.528986,0.000009,0.790131,7.000000,
0.528986,0.649986,0.528986,0.000007,0.564428,8.000000,
0.528986,0.651420,0.528986,0.000005,0.726657,9.000000,
0.528986,0.653159,0.528986,0.000004,0.726559,10.000000,
0.528986,0.654810,0.528986,0.000002,0.743659,11.000000,
0.528986,0.655405,0.528986,0.000000,0.639346,12.000000,
