val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
-0.050285,-0.047580,-0.048932,7.313731,-0.047580,0.000020,8.945269,1.000000,
-0.050285,-0.047580,-0.048932,7.313731,-0.047580,0.000018,8.008113,2.000000,
-0.050285,-0.047580,-0.048932,7.313731,-0.047580,0.000016,8.420198,3.000000,
0.456295,0.419675,0.437985,2.715303,0.419675,0.000015,5.004710,4.000000,
0.534450,0.505654,0.520052,1.911294,0.505654,0.000013,4.015228,5.000000,
0.593515,0.595093,0.594304,3.243523,0.595093,0.000011,1.461263,6.000000,
0.659445,0.695224,0.677335,3.689290,0.695224,0.000009,3.097345,7.000000,
0.703767,0.750944,0.727356,3.521390,0.750944,0.000007,4.651587,8.000000,
0.734887,0.778908,0.756898,3.070466,0.778908,0.000005,1.867120,9.000000,
0.755469,0.792257,0.773863,2.628744,0.792257,0.000004,2.578786,10.000000,
0.766998,0.796929,0.781964,2.314863,0.796929,0.000002,1.801826,11.000000,
0.771556,0.798857,0.785207,2.187801,0.798857,0.000000,0.532469,12.000000,
