val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.011235,0.771544,-0.011235,0.000020,0.659235,1.000000,
-0.011235,0.771544,-0.011235,0.000018,0.706833,2.000000,
0.019347,0.690062,0.019347,0.000016,0.599986,3.000000,
0.030837,0.665522,0.030837,0.000015,0.654377,4.000000,
0.019381,0.662374,0.030837,0.000013,0.651664,5.000000,
0.000000,0.666246,0.030837,0.000011,0.594122,6.000000,
0.000000,0.701921,0.030837,0.000009,0.586031,7.000000,
0.000000,0.707107,0.030837,0.000007,1.066277,8.000000,
0.000000,0.719032,0.030837,0.000005,0.471691,9.000000,
0.000000,0.716822,0.030837,0.000004,0.729734,10.000000,
0.000000,0.701951,0.030837,0.000002,0.610093,11.000000,
0.000000,0.687297,0.030837,0.000000,0.492948,12.000000,
