val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.019381,0.680015,0.019381,0.000020,0.472825,1.000000,
0.019381,0.680015,0.019381,0.000018,0.581276,2.000000,
0.005679,0.686185,0.019381,0.000016,0.537539,3.000000,
0.017831,0.675054,0.019381,0.000015,0.526240,4.000000,
0.065575,0.702763,0.065575,0.000013,0.548779,5.000000,
0.092826,0.668962,0.092826,0.000011,0.507139,6.000000,
0.104592,0.658072,0.104592,0.000009,0.360950,7.000000,
0.104592,0.658072,0.104592,0.000007,0.233584,8.000000,
0.122472,0.655723,0.122472,0.000005,0.347962,9.000000,
0.171424,0.636215,0.171424,0.000004,0.334663,10.000000,
0.199674,0.633074,0.199674,0.000002,0.246729,11.000000,
0.253204,0.633743,0.253204,0.000000,0.332971,12.000000,
