val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.065575,0.663703,0.065575,0.000020,0.773974,9.000000,
0.017831,0.699379,0.065575,0.000018,0.649598,18.000000,
0.000000,0.704127,0.065575,0.000016,0.652955,27.000000,
0.000000,0.699043,0.065575,0.000014,0.637136,36.000000,
0.000000,0.669735,0.065575,0.000012,0.637014,45.000000,
0.000000,0.663936,0.065575,0.000010,0.620512,54.000000,
0.000000,0.701125,0.065575,0.000008,0.630454,63.000000,
0.000000,0.696301,0.065575,0.000006,0.579667,72.000000,
0.000000,0.688690,0.065575,0.000003,0.627742,81.000000,
0.000000,0.677035,0.065575,0.000001,0.613667,90.000000,
0.000000,0.675046,0.065575,0.000000,0.635657,96.000000,
