val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.637446,0.528986,0.000020,0.767777,9.000000,
0.579710,0.588883,0.579710,0.000018,0.737850,18.000000,
0.644928,0.639277,0.644928,0.000016,0.704639,27.000000,
0.565217,0.720525,0.644928,0.000014,0.606396,36.000000,
0.615942,0.571759,0.644928,0.000012,0.566801,45.000000,
0.608696,0.617924,0.644928,0.000010,0.531816,54.000000,
0.652174,0.537894,0.652174,0.000008,0.530672,63.000000,
0.623188,0.586770,0.652174,0.000006,0.397153,72.000000,
0.673913,0.567425,0.673913,0.000003,0.357524,81.000000,
0.637681,0.593487,0.673913,0.000001,0.381911,90.000000,
0.637681,0.594489,0.673913,0.000000,0.270307,96.000000,
