val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000020,7.910225,1.000000,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000018,6.292331,2.000000,
0.446967,0.511154,0.479061,5.234023,0.511154,0.000016,8.055975,3.000000,
0.391970,0.189620,0.290795,5.130787,0.511154,0.000015,9.458987,4.000000,
0.361745,-0.075287,0.143229,5.069179,0.511154,0.000013,6.679975,5.000000,
0.353054,-0.100975,0.126040,5.013211,0.511154,0.000011,7.275398,6.000000,
0.350675,-0.084739,0.132968,4.963894,0.511154,0.000009,7.723489,7.000000,
0.350531,-0.065902,0.142314,4.922144,0.511154,0.000007,6.622938,8.000000,
0.351123,-0.043010,0.154056,4.888289,0.511154,0.000005,7.963015,9.000000,
0.353146,-0.007405,0.172871,4.858849,0.511154,0.000004,7.856121,10.000000,
0.355196,0.019570,0.187383,4.837022,0.511154,0.000002,5.236995,11.000000,
0.356592,0.033850,0.195221,4.826294,0.511154,0.000000,6.460856,12.000000,
