val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.791724,0.471014,0.000020,0.792544,1.000000,
0.471014,0.778507,0.471014,0.000018,0.674963,2.000000,
0.471014,0.771776,0.471014,0.000016,0.669090,3.000000,
0.471014,0.765514,0.471014,0.000015,0.844222,4.000000,
0.471014,0.759514,0.471014,0.000013,0.744124,5.000000,
0.471014,0.754697,0.471014,0.000011,0.712970,6.000000,
0.471014,0.749989,0.471014,0.000009,0.756776,7.000000,
0.471014,0.746492,0.471014,0.000007,0.569024,8.000000,
0.471014,0.744359,0.471014,0.000005,0.650619,9.000000,
0.471014,0.743047,0.471014,0.000004,0.683682,10.000000,
0.471014,0.742203,0.471014,0.000002,0.715735,11.000000,
0.471014,0.741838,0.471014,0.000000,0.708829,12.000000,
