val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
-0.157661,-0.158401,-0.158031,5.827065,-0.158401,0.000020,7.731171,1.000000,
-0.157661,-0.158401,-0.158031,5.827065,-0.158401,0.000018,7.000306,2.000000,
-0.157661,-0.158401,-0.158031,5.827065,-0.158401,0.000016,6.810602,3.000000,
0.252825,0.156215,0.204520,2.270572,0.156215,0.000015,3.778093,4.000000,
0.488986,0.431263,0.460124,2.344070,0.431263,0.000013,3.180891,5.000000,
0.639027,0.636244,0.637635,2.541952,0.636244,0.000011,2.350828,6.000000,
0.711216,0.702546,0.706881,2.224122,0.702546,0.000009,2.182083,7.000000,
0.729024,0.707599,0.718311,1.855952,0.707599,0.000007,2.354716,8.000000,
0.725999,0.701551,0.713775,1.580868,0.707599,0.000005,1.997055,9.000000,
0.721273,0.698919,0.710096,1.463165,0.707599,0.000004,1.481201,10.000000,
0.725132,0.704196,0.714664,1.408128,0.707599,0.000002,1.023258,11.000000,
0.728179,0.708201,0.718190,1.384421,0.708201,0.000000,2.758757,12.000000,
