val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.646242,0.528986,0.000020,0.748275,9.000000,
0.543478,0.680510,0.543478,0.000018,0.711690,18.000000,
0.507246,0.712523,0.543478,0.000016,0.719247,27.000000,
0.550725,0.770919,0.550725,0.000014,0.707900,36.000000,
0.666667,0.643445,0.666667,0.000012,0.679388,45.000000,
0.666667,0.626345,0.666667,0.000010,0.673951,54.000000,
0.673913,0.587290,0.673913,0.000008,0.636705,63.000000,
0.681159,0.556500,0.681159,0.000006,0.613630,72.000000,
0.637681,0.593358,0.681159,0.000003,0.607324,81.000000,
0.637681,0.617904,0.681159,0.000001,0.620249,90.000000,
0.659420,0.599801,0.681159,0.000000,0.571416,96.000000,
