val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.019381,0.926159,-0.019381,0.000020,1.059090,1.000000,
-0.064897,0.780978,-0.019381,0.000018,0.983016,2.000000,
-0.042007,0.709331,-0.019381,0.000016,0.807667,3.000000,
-0.023233,0.694571,-0.019381,0.000015,0.748633,4.000000,
0.008545,0.684887,0.008545,0.000013,0.717536,5.000000,
0.011562,0.677231,0.011562,0.000011,0.620784,6.000000,
0.033899,0.673869,0.033899,0.000009,0.627180,7.000000,
-0.005886,0.673198,0.033899,0.000007,0.715675,8.000000,
-0.005886,0.674203,0.033899,0.000005,0.582288,9.000000,
-0.005886,0.675835,0.033899,0.000004,0.585492,10.000000,
-0.005886,0.677605,0.033899,0.000002,0.537160,11.000000,
-0.005886,0.677919,0.033899,0.000000,0.570945,12.000000,
