val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.785662,0.000000,0.000020,0.602233,9.000000,
0.000000,0.641650,0.000000,0.000018,0.643622,18.000000,
0.219108,0.607123,0.219108,0.000016,0.637471,27.000000,
0.192732,0.664431,0.219108,0.000014,0.661369,36.000000,
0.000000,0.686198,0.219108,0.000012,0.624017,45.000000,
0.000000,0.693167,0.219108,0.000010,0.607273,54.000000,
0.000000,0.666122,0.219108,0.000008,0.651191,63.000000,
0.000000,0.672211,0.219108,0.000006,0.613608,72.000000,
0.000000,0.678992,0.219108,0.000003,0.622434,81.000000,
0.000000,0.680542,0.219108,0.000001,0.608529,90.000000,
0.000000,0.679148,0.219108,0.000000,0.611473,96.000000,
