val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.384046,0.490802,0.437424,2.100043,0.490802,0.000020,6.641534,9.000000,
0.439271,0.544397,0.491834,1.780689,0.544397,0.000018,2.022206,18.000000,
0.789263,0.795844,0.792554,1.174466,0.795844,0.000016,2.172985,27.000000,
0.755408,0.806781,0.781094,1.380765,0.806781,0.000014,1.315546,36.000000,
0.831000,0.840470,0.835735,0.715113,0.840470,0.000012,0.835329,45.000000,
0.829908,0.833190,0.831549,0.766978,0.840470,0.000010,0.824023,54.000000,
0.861567,0.860407,0.860987,0.666561,0.860407,0.000008,0.833280,63.000000,
0.870175,0.869217,0.869696,0.564720,0.869217,0.000006,0.545865,72.000000,
0.874629,0.871913,0.873271,0.621472,0.871913,0.000003,0.495397,81.000000,
0.872565,0.870444,0.871504,0.557179,0.871913,0.000001,0.508586,90.000000,
0.873358,0.870686,0.872022,0.551453,0.871913,0.000000,0.528218,96.000000,
