val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.788315,0.471014,0.000020,0.753344,9.000000,
0.471014,0.715807,0.471014,0.000018,0.714215,18.000000,
0.565217,0.685800,0.565217,0.000016,0.698631,27.000000,
0.550725,0.646786,0.565217,0.000014,0.696249,36.000000,
0.579710,0.648250,0.579710,0.000012,0.670692,45.000000,
0.623188,0.682100,0.623188,0.000010,0.682278,54.000000,
0.652174,0.635928,0.652174,0.000008,0.687598,63.000000,
0.644928,0.632441,0.652174,0.000006,0.615441,72.000000,
0.637681,0.610157,0.652174,0.000003,0.580504,81.000000,
0.637681,0.609766,0.652174,0.000001,0.609426,90.000000,
0.637681,0.606347,0.652174,0.000000,0.527402,96.000000,
