val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,1.006504,0.000000,0.000020,0.855244,9.000000,
0.264268,0.688589,0.264268,0.000018,0.565405,18.000000,
0.413352,0.591545,0.413352,0.000016,0.544497,27.000000,
0.419657,0.586574,0.419657,0.000014,0.458131,36.000000,
0.369374,0.729259,0.419657,0.000012,0.297802,45.000000,
0.394383,0.671004,0.419657,0.000010,0.300188,54.000000,
0.487628,0.557969,0.487628,0.000008,0.383422,63.000000,
0.406223,0.775105,0.487628,0.000006,0.251385,72.000000,
0.419657,0.929438,0.487628,0.000003,0.126291,81.000000,
0.407103,0.848451,0.487628,0.000001,0.156202,90.000000,
0.419132,0.831311,0.487628,0.000000,0.120031,96.000000,
