val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.463768,0.776383,0.463768,0.000020,0.663317,1.000000,
0.471014,0.772689,0.471014,0.000018,0.747299,2.000000,
0.463768,0.744999,0.471014,0.000016,0.714815,3.000000,
0.478261,0.713546,0.478261,0.000015,0.828651,4.000000,
0.507246,0.686831,0.507246,0.000013,0.672013,5.000000,
0.536232,0.664794,0.536232,0.000011,0.687824,6.000000,
0.594203,0.649553,0.594203,0.000009,0.693655,7.000000,
0.557971,0.649889,0.594203,0.000007,0.850976,8.000000,
0.557971,0.648002,0.594203,0.000005,0.611250,9.000000,
0.579710,0.648279,0.594203,0.000004,0.583261,10.000000,
0.572464,0.653362,0.594203,0.000002,0.623928,11.000000,
0.550725,0.655899,0.594203,0.000000,0.590227,12.000000,
