val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.684445,0.000000,0.000020,0.665608,9.000000,
0.004004,0.675730,0.004004,0.000018,0.596849,18.000000,
0.019381,0.694261,0.019381,0.000016,0.600031,27.000000,
0.046251,0.682073,0.046251,0.000014,0.622509,36.000000,
-0.015781,0.680690,0.046251,0.000012,0.603671,45.000000,
0.030192,0.686331,0.046251,0.000010,0.558411,54.000000,
0.075144,0.646897,0.075144,0.000008,0.610390,63.000000,
0.171087,0.634397,0.171087,0.000006,0.531393,72.000000,
0.192225,0.648376,0.192225,0.000003,0.525094,81.000000,
0.190100,0.652357,0.192225,0.000001,0.517090,90.000000,
0.199682,0.652177,0.199682,0.000000,0.511455,96.000000,
