val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.050893,0.699787,-0.050893,0.000020,0.642913,9.000000,
-0.041514,0.671410,-0.041514,0.000018,0.629750,18.000000,
0.058901,0.672383,0.058901,0.000016,0.613529,27.000000,
0.133259,0.639621,0.133259,0.000014,0.661761,36.000000,
0.146529,0.631962,0.146529,0.000012,0.609152,45.000000,
0.169866,0.643304,0.169866,0.000010,0.592623,54.000000,
0.202278,0.652892,0.202278,0.000008,0.531692,63.000000,
0.235932,0.619329,0.235932,0.000006,0.477894,72.000000,
0.254954,0.613592,0.254954,0.000003,0.482458,81.000000,
0.254119,0.615989,0.254954,0.000001,0.461716,90.000000,
0.248478,0.614756,0.254954,0.000000,0.494762,96.000000,
