val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.693963,0.000000,0.000020,0.720473,9.000000,
0.092826,0.782814,0.092826,0.000018,0.616047,18.000000,
0.365020,0.547199,0.365020,0.000016,0.573885,27.000000,
0.212579,0.784494,0.365020,0.000014,0.511658,36.000000,
0.450001,0.516898,0.450001,0.000012,0.406237,45.000000,
0.404341,0.707640,0.450001,0.000010,0.340412,54.000000,
0.470165,0.639635,0.470165,0.000008,0.254519,63.000000,
0.453157,0.683312,0.470165,0.000006,0.183945,72.000000,
0.424174,0.754449,0.470165,0.000003,0.129018,81.000000,
0.453157,0.741443,0.470165,0.000001,0.158629,90.000000,
0.453157,0.752819,0.470165,0.000000,0.071458,96.000000,
