val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.788188,0.000000,0.000020,0.754984,9.000000,
0.083941,0.765040,0.083941,0.000018,0.638141,18.000000,
0.416646,0.564338,0.416646,0.000016,0.542775,27.000000,
0.365027,0.625168,0.416646,0.000014,0.551275,36.000000,
0.400730,0.632930,0.416646,0.000012,0.335596,45.000000,
0.436278,0.584512,0.436278,0.000010,0.368310,54.000000,
0.417902,0.619364,0.436278,0.000008,0.321834,63.000000,
0.406151,0.734195,0.436278,0.000006,0.134639,72.000000,
0.442355,0.736341,0.442355,0.000003,0.143653,81.000000,
0.420751,0.784593,0.442355,0.000001,0.127889,90.000000,
0.420751,0.790857,0.442355,0.000000,0.142555,96.000000,
