val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.019381,0.680015,0.019381,0.000020,0.472825,1.000000,
0.019381,0.680015,0.019381,0.000018,0.581276,2.000000,
0.019381,0.678522,0.019381,0.000016,0.537539,3.000000,
0.070735,0.673228,0.070735,0.000015,0.487002,4.000000,
0.070735,0.673228,0.070735,0.000013,0.545629,5.000000,
0.070735,0.669755,0.070735,0.000011,0.517352,6.000000,
0.102615,0.670583,0.102615,0.000009,0.420150,7.000000,
0.088090,0.678725,0.102615,0.000007,0.248624,8.000000,
0.070735,0.689280,0.102615,0.000005,0.421470,9.000000,
0.070735,0.693919,0.102615,0.000004,0.540089,10.000000,
0.070735,0.695629,0.102615,0.000002,0.396400,11.000000,
0.070735,0.695643,0.102615,0.000000,0.503247,12.000000,
