val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.019381,0.680015,0.019381,0.000020,0.612433,1.000000,
0.066270,0.665882,0.066270,0.000018,0.710360,2.000000,
0.066270,0.665882,0.066270,0.000016,0.523634,3.000000,
0.049490,0.651441,0.066270,0.000015,0.834282,4.000000,
0.019226,0.642783,0.066270,0.000013,0.706778,5.000000,
0.019226,0.642783,0.066270,0.000011,0.566655,6.000000,
0.001391,0.652389,0.066270,0.000009,0.548377,7.000000,
0.009157,0.649399,0.066270,0.000007,0.440604,8.000000,
0.009157,0.649189,0.066270,0.000005,0.542769,9.000000,
0.025114,0.649295,0.066270,0.000004,0.583653,10.000000,
0.042498,0.642932,0.066270,0.000002,0.547732,11.000000,
0.043237,0.642264,0.066270,0.000000,0.702620,12.000000,
