val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.478261,0.675067,0.478261,0.000020,0.708300,1.000000,
0.471014,1.252238,0.478261,0.000018,0.763583,2.000000,
0.471014,1.135950,0.478261,0.000016,0.967184,3.000000,
0.471014,1.385702,0.478261,0.000015,0.274745,4.000000,
0.471014,1.269487,0.478261,0.000013,0.993520,5.000000,
0.471014,1.014277,0.478261,0.000011,0.749378,6.000000,
0.536232,0.785358,0.536232,0.000009,0.621342,7.000000,
0.528986,0.726913,0.536232,0.000007,0.353785,8.000000,
0.492754,0.687929,0.536232,0.000005,0.543025,9.000000,
0.492754,0.682278,0.536232,0.000004,0.507533,10.000000,
0.492754,0.688804,0.536232,0.000002,0.502560,11.000000,
0.485507,0.687645,0.536232,0.000000,0.538383,12.000000,
