val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.041932,0.649499,0.041932,0.000020,0.611113,9.000000,
0.000000,0.690400,0.041932,0.000018,0.627294,18.000000,
0.000000,0.653552,0.041932,0.000016,0.575632,27.000000,
0.307611,0.811445,0.307611,0.000014,0.462440,36.000000,
0.351596,0.573757,0.351596,0.000012,0.448095,45.000000,
0.289840,0.667617,0.351596,0.000010,0.435049,54.000000,
0.376039,0.607366,0.376039,0.000008,0.433237,63.000000,
0.388146,0.660756,0.388146,0.000006,0.380412,72.000000,
0.388178,0.796194,0.388178,0.000003,0.285405,81.000000,
0.369781,0.788555,0.388178,0.000001,0.265031,90.000000,
0.376014,0.779579,0.388178,0.000000,0.188841,96.000000,
