val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.647569,0.528986,0.000020,0.798409,9.000000,
0.442029,0.791607,0.528986,0.000018,0.699980,18.000000,
0.528986,0.699489,0.528986,0.000016,0.693351,27.000000,
0.500000,0.741243,0.528986,0.000014,0.702515,36.000000,
0.579710,0.605788,0.579710,0.000012,0.686081,45.000000,
0.601449,0.773425,0.601449,0.000010,0.584202,54.000000,
0.637681,0.579202,0.637681,0.000008,0.593561,63.000000,
0.528986,0.903574,0.637681,0.000006,0.470951,72.000000,
0.644928,0.625401,0.644928,0.000003,0.500827,81.000000,
0.659420,0.679601,0.659420,0.000001,0.458865,90.000000,
0.659420,0.707440,0.659420,0.000000,0.461961,96.000000,
