val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.790581,0.810728,0.800654,2.862734,0.810728,0.000020,4.498296,9.000000,
0.843029,0.852960,0.847995,1.743539,0.852960,0.000018,1.718853,18.000000,
0.847245,0.851207,0.849226,0.677398,0.852960,0.000016,1.150605,27.000000,
0.860879,0.861822,0.861351,0.636670,0.861822,0.000014,0.870854,36.000000,
0.870319,0.868764,0.869542,0.650629,0.868764,0.000012,0.643627,45.000000,
0.879901,0.877017,0.878459,0.658105,0.877017,0.000010,0.629304,54.000000,
0.881127,0.879243,0.880185,0.510109,0.879243,0.000008,0.576117,63.000000,
0.882874,0.880709,0.881792,0.590633,0.880709,0.000006,0.398899,72.000000,
0.882291,0.879411,0.880851,0.571335,0.880709,0.000003,0.372940,81.000000,
0.882777,0.879962,0.881369,0.553577,0.880709,0.000001,0.377746,90.000000,
0.882834,0.880108,0.881471,0.534378,0.880709,0.000000,0.312074,96.000000,
