val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.628657,0.528986,0.000020,0.787809,9.000000,
0.463768,0.748745,0.528986,0.000018,0.694023,18.000000,
0.471014,0.790878,0.528986,0.000016,0.747713,27.000000,
0.528986,0.647873,0.528986,0.000014,0.761043,36.000000,
0.528986,0.641408,0.528986,0.000012,0.749373,45.000000,
0.471014,0.771727,0.528986,0.000010,0.692532,54.000000,
0.471014,0.706703,0.528986,0.000008,0.704083,63.000000,
0.528986,0.672450,0.528986,0.000006,0.707901,72.000000,
0.507246,0.693014,0.528986,0.000003,0.702479,81.000000,
0.471014,0.724580,0.528986,0.000001,0.701492,90.000000,
0.471014,0.721067,0.528986,0.000000,0.715991,96.000000,
