val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.844316,0.471014,0.000020,0.676047,1.000000,
0.471014,0.861212,0.471014,0.000018,0.692711,2.000000,
0.471014,0.871465,0.471014,0.000016,0.757154,3.000000,
0.471014,0.853413,0.471014,0.000015,0.980039,4.000000,
0.471014,0.839367,0.471014,0.000013,0.721386,5.000000,
0.471014,0.824418,0.471014,0.000011,0.693193,6.000000,
0.471014,0.826824,0.471014,0.000009,0.667731,7.000000,
0.471014,0.826824,0.471014,0.000007,0.598462,8.000000,
0.471014,0.832491,0.471014,0.000005,0.666376,9.000000,
0.471014,0.840286,0.471014,0.000004,0.661764,10.000000,
0.471014,0.844557,0.471014,0.000002,0.672258,11.000000,
0.471014,0.847447,0.471014,0.000000,0.500703,12.000000,
