val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.110104,0.137363,0.123733,6.442484,0.137363,0.000020,6.894906,1.000000,
0.110104,0.137363,0.123733,6.442484,0.137363,0.000018,7.251951,2.000000,
0.110104,0.137363,0.123733,6.442484,0.137363,0.000016,8.779316,3.000000,
0.186441,-0.266433,-0.039996,6.153136,0.137363,0.000015,3.655538,4.000000,
0.191525,-0.111465,0.040030,5.687203,0.137363,0.000013,6.574658,5.000000,
0.157776,-0.284468,-0.063346,4.958482,0.137363,0.000011,7.006194,6.000000,
0.115470,-0.205672,-0.045101,4.426102,0.137363,0.000009,7.283113,7.000000,
0.227032,-0.026679,0.100177,3.693459,0.137363,0.000007,2.280005,8.000000,
0.351662,0.495218,0.423440,3.171189,0.495218,0.000005,3.950706,9.000000,
0.342926,0.439255,0.391090,3.078983,0.495218,0.000004,3.779540,10.000000,
0.336197,0.408909,0.372553,2.969069,0.495218,0.000002,3.506009,11.000000,
0.334154,0.402769,0.368461,2.892185,0.495218,0.000000,7.612287,12.000000,
