val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.004004,0.667101,0.004004,0.000020,0.636632,1.000000,
0.004004,0.667551,0.004004,0.000018,0.675459,2.000000,
-0.050893,0.660695,0.004004,0.000016,0.667393,3.000000,
-0.005886,0.657893,0.004004,0.000015,0.429390,4.000000,
0.017305,0.654631,0.017305,0.000013,0.578135,5.000000,
0.095260,0.650508,0.095260,0.000011,0.593619,6.000000,
0.049777,0.648342,0.095260,0.000009,0.542666,7.000000,
0.075567,0.646661,0.095260,0.000007,0.605727,8.000000,
0.055414,0.645636,0.095260,0.000005,0.439494,9.000000,
0.055414,0.645699,0.095260,0.000004,0.463736,10.000000,
0.045485,0.645232,0.095260,0.000002,0.529067,11.000000,
0.045485,0.645102,0.095260,0.000000,0.691799,12.000000,
