val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.339160,0.372263,0.355711,2.497130,0.372263,0.000020,6.853683,9.000000,
0.486752,0.438925,0.462839,1.729541,0.438925,0.000018,2.655253,18.000000,
0.775114,0.757872,0.766493,0.985128,0.757872,0.000016,1.366033,27.000000,
0.810487,0.808127,0.809307,0.879035,0.808127,0.000014,1.176727,36.000000,
0.512005,0.571241,0.541623,1.691151,0.808127,0.000012,2.193447,45.000000,
0.750671,0.750876,0.750773,1.407548,0.808127,0.000010,1.773626,54.000000,
0.786565,0.782582,0.784574,0.888322,0.808127,0.000008,1.338189,63.000000,
0.769086,0.812294,0.790690,1.105032,0.812294,0.000006,1.060699,72.000000,
0.796307,0.814165,0.805236,0.845108,0.814165,0.000003,0.914456,81.000000,
0.799374,0.811375,0.805375,0.823809,0.814165,0.000001,1.144159,90.000000,
0.809106,0.822654,0.815880,0.798454,0.822654,0.000000,0.833136,96.000000,
